
=== identifier TOKENS ===
+-----------------------+--------+-------+
| Лексема               | Строка | ID    |
+-----------------------+--------+-------+
| InnerClass            | 1      | 2     |
| this                  | 2      | 7     |
| Display               | 2      | 9     |
| this                  | 5      | 7     |
| ShowMessage           | 5      | 12    |
| message               | 5      | 13    |
| i                     | 9      | 19    |
| a                     | 10     | 25    |
| i                     | 10     | 19    |
| m                     | 12     | 31    |
| n                     | 13     | 33    |
| n                     | 17     | 33    |
| n                     | 19     | 33    |
| m                     | 22     | 31    |
| m                     | 23     | 31    |
| n                     | 24     | 33    |
| n                     | 26     | 33    |
| n                     | 26     | 33    |
| m                     | 28     | 31    |
| m                     | 28     | 31    |
| n                     | 29     | 33    |
| number1               | 32     | 46    |
| a                     | 33     | 25    |
| x                     | 34     | 48    |
| y                     | 35     | 49    |
| name                  | 36     | 51    |
| flag                  | 37     | 53    |
| n5                    | 38     | 55    |
| number1               | 38     | 46    |
| n4                    | 39     | 57    |
| number1               | 39     | 46    |
| set1                  | 40     | 58    |
| Set                   | 40     | 59    |
| ofArray               | 40     | 60    |
| numbers2              | 41     | 68    |
| seq                   | 41     | 69    |
| numbers3              | 42     | 73    |
| seq                   | 42     | 69    |
| people                | 43     | 74    |
| dict                  | 44     | 76    |
| people2               | 45     | 85    |
+-----------------------+--------+-------+

=== stringLiteral TOKENS ===
+-----------------------+--------+-------+
| Лексема               | Строка | ID    |
+-----------------------+--------+-------+
| "Inside Inner Class"  | 3      | 11    |
| "Сообщение: {message} | 6      | 17    |
| ."                    |        |       |
| "i = {i}"             | 11     | 30    |
| "{m * n}\t"           | 14     | 35    |
| ""                    | 15     | 36    |
| "{n}"                 | 17     | 40    |
| "{m * n}\t"           | 25     | 35    |
| ""                    | 27     | 36    |
| "Alice"               | 36     | 52    |
| "Tom"                 | 40     | 63    |
| "Bob"                 | 40     | 65    |
| "Sam"                 | 40     | 66    |
| "Tom"                 | 43     | 63    |
| "Alice"               | 43     | 52    |
| "Sam"                 | 43     | 66    |
| "Kate"                | 43     | 75    |
| "Bob"                 | 43     | 65    |
| "red"                 | 44     | 78    |
| "красный"             | 44     | 80    |
| "blue"                | 44     | 81    |
| "синий"               | 44     | 82    |
| "green"               | 44     | 83    |
| "зеленый"             | 44     | 84    |
| "Tom"                 | 45     | 63    |
